"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"186014","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd4c689e40f7e97a34089","instructions",10,1174243,"0.0-9.0-0.0","SderUN3yU73FjQQZw+EaKa8psf2cYHMiQhaRzVrf6c0BJ934FRSgbPG6fDSl4xy1Kj3kaZkt0KLXsqw3M9b+cUi+jOGVJfrV2aTNz8w+aZx3ApCwAd79bqDQiVvCkxVetQdpGUv36JocdDv6yyS9X80zuHV0xR/UfMfcl3BQC1RYdeUwY2P8tdYTZhcL1ZgKBlLIGyQNXUh36RIc3yK9C+4Z2yoST5QmN4fhxIoLWpQY1a3JSYci+cs7Q6lyRc9gDbVOWfArE9/+zKTWx9mHA87MsUIyrTcw8FD4J5DI2QXLJSb4gJmKFVgMHDzhWxo0UmMGcit9836X3BpO1FAPew==","69168b21477cff9ada6cb980","691bd4c689e40f7e97a34089","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":62469},{""page_index"":1,""viewing_time"":14976},{""page_index"":2,""viewing_time"":46470},{""page_index"":3,""viewing_time"":41420},{""page_index"":4,""viewing_time"":5536},{""page_index"":5,""viewing_time"":10623},{""page_index"":6,""viewing_time"":4520}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:53:29
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd4c689e40f7e97a34089","html-keyboard-response",11,1175245,"0.0-9.0-1.0","SderUN3yU73FjQQZw+EaKa8psf2cYHMiQhaRzVrf6c0BJ934FRSgbPG6fDSl4xy1Kj3kaZkt0KLXsqw3M9b+cUi+jOGVJfrV2aTNz8w+aZx3ApCwAd79bqDQiVvCkxVetQdpGUv36JocdDv6yyS9X80zuHV0xR/UfMfcl3BQC1RYdeUwY2P8tdYTZhcL1ZgKBlLIGyQNXUh36RIc3yK9C+4Z2yoST5QmN4fhxIoLWpQY1a3JSYci+cs7Q6lyRc9gDbVOWfArE9/+zKTWx9mHA87MsUIyrTcw8FD4J5DI2QXLJSb4gJmKFVgMHDzhWxo0UmMGcit9836X3BpO1FAPew==","69168b21477cff9ada6cb980","691bd4c689e40f7e97a34089","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:53:29
"165598.99999999977","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd4c689e40f7e97a34089","survey-multi-choice",12,1340847,"0.0-10.0-0.0","SderUN3yU73FjQQZw+EaKa8psf2cYHMiQhaRzVrf6c0BJ934FRSgbPG6fDSl4xy1Kj3kaZkt0KLXsqw3M9b+cUi+jOGVJfrV2aTNz8w+aZx3ApCwAd79bqDQiVvCkxVetQdpGUv36JocdDv6yyS9X80zuHV0xR/UfMfcl3BQC1RYdeUwY2P8tdYTZhcL1ZgKBlLIGyQNXUh36RIc3yK9C+4Z2yoST5QmN4fhxIoLWpQY1a3JSYci+cs7Q6lyRc9gDbVOWfArE9/+zKTWx9mHA87MsUIyrTcw8FD4J5DI2QXLJSb4gJmKFVgMHDzhWxo0UmMGcit9836X3BpO1FAPew==","69168b21477cff9ada6cb980","691bd4c689e40f7e97a34089","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""Contestants are always the same across contests."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:53:29
"1740","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd4c689e40f7e97a34089","html-button-response",13,1342588,"0.0-11.0-0.0","SderUN3yU73FjQQZw+EaKa8psf2cYHMiQhaRzVrf6c0BJ934FRSgbPG6fDSl4xy1Kj3kaZkt0KLXsqw3M9b+cUi+jOGVJfrV2aTNz8w+aZx3ApCwAd79bqDQiVvCkxVetQdpGUv36JocdDv6yyS9X80zuHV0xR/UfMfcl3BQC1RYdeUwY2P8tdYTZhcL1ZgKBlLIGyQNXUh36RIc3yK9C+4Z2yoST5QmN4fhxIoLWpQY1a3JSYci+cs7Q6lyRc9gDbVOWfArE9/+zKTWx9mHA87MsUIyrTcw8FD4J5DI2QXLJSb4gJmKFVgMHDzhWxo0UmMGcit9836X3BpO1FAPew==","69168b21477cff9ada6cb980","691bd4c689e40f7e97a34089","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check.</p>","","","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:53:29
"149692","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd4c689e40f7e97a34089","survey-multi-choice",14,1492282,"0.0-13.0-0.0","SderUN3yU73FjQQZw+EaKa8psf2cYHMiQhaRzVrf6c0BJ934FRSgbPG6fDSl4xy1Kj3kaZkt0KLXsqw3M9b+cUi+jOGVJfrV2aTNz8w+aZx3ApCwAd79bqDQiVvCkxVetQdpGUv36JocdDv6yyS9X80zuHV0xR/UfMfcl3BQC1RYdeUwY2P8tdYTZhcL1ZgKBlLIGyQNXUh36RIc3yK9C+4Z2yoST5QmN4fhxIoLWpQY1a3JSYci+cs7Q6lyRc9gDbVOWfArE9/+zKTWx9mHA87MsUIyrTcw8FD4J5DI2QXLJSb4gJmKFVgMHDzhWxo0UmMGcit9836X3BpO1FAPew==","69168b21477cff9ada6cb980","691bd4c689e40f7e97a34089","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""Contestants are always the same across contests."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:53:29
"2062","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd4c689e40f7e97a34089","html-button-response",15,1494347,"0.0-14.0-0.0","SderUN3yU73FjQQZw+EaKa8psf2cYHMiQhaRzVrf6c0BJ934FRSgbPG6fDSl4xy1Kj3kaZkt0KLXsqw3M9b+cUi+jOGVJfrV2aTNz8w+aZx3ApCwAd79bqDQiVvCkxVetQdpGUv36JocdDv6yyS9X80zuHV0xR/UfMfcl3BQC1RYdeUwY2P8tdYTZhcL1ZgKBlLIGyQNXUh36RIc3yK9C+4Z2yoST5QmN4fhxIoLWpQY1a3JSYci+cs7Q6lyRc9gDbVOWfArE9/+zKTWx9mHA87MsUIyrTcw8FD4J5DI2QXLJSb4gJmKFVgMHDzhWxo0UmMGcit9836X3BpO1FAPew==","69168b21477cff9ada6cb980","691bd4c689e40f7e97a34089","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check.</p>","","","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:53:29
"121777","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd4c689e40f7e97a34089","survey-multi-choice",16,1616138,"0.0-16.0-0.0","SderUN3yU73FjQQZw+EaKa8psf2cYHMiQhaRzVrf6c0BJ934FRSgbPG6fDSl4xy1Kj3kaZkt0KLXsqw3M9b+cUi+jOGVJfrV2aTNz8w+aZx3ApCwAd79bqDQiVvCkxVetQdpGUv36JocdDv6yyS9X80zuHV0xR/UfMfcl3BQC1RYdeUwY2P8tdYTZhcL1ZgKBlLIGyQNXUh36RIc3yK9C+4Z2yoST5QmN4fhxIoLWpQY1a3JSYci+cs7Q6lyRc9gDbVOWfArE9/+zKTWx9mHA87MsUIyrTcw8FD4J5DI2QXLJSb4gJmKFVgMHDzhWxo0UmMGcit9836X3BpO1FAPew==","69168b21477cff9ada6cb980","691bd4c689e40f7e97a34089","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:53:29
"20059","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd4c689e40f7e97a34089","instructions",17,1636201,"0.0-305.0","SderUN3yU73FjQQZw+EaKa8psf2cYHMiQhaRzVrf6c0BJ934FRSgbPG6fDSl4xy1Kj3kaZkt0KLXsqw3M9b+cUi+jOGVJfrV2aTNz8w+aZx3ApCwAd79bqDQiVvCkxVetQdpGUv36JocdDv6yyS9X80zuHV0xR/UfMfcl3BQC1RYdeUwY2P8tdYTZhcL1ZgKBlLIGyQNXUh36RIc3yK9C+4Z2yoST5QmN4fhxIoLWpQY1a3JSYci+cs7Q6lyRc9gDbVOWfArE9/+zKTWx9mHA87MsUIyrTcw8FD4J5DI2QXLJSb4gJmKFVgMHDzhWxo0UmMGcit9836X3BpO1FAPew==","69168b21477cff9ada6cb980","691bd4c689e40f7e97a34089","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":17107},{""page_index"":1,""viewing_time"":2952}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:53:29
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd4c689e40f7e97a34089","html-keyboard-response",18,1637203,"0.0-306.0","SderUN3yU73FjQQZw+EaKa8psf2cYHMiQhaRzVrf6c0BJ934FRSgbPG6fDSl4xy1Kj3kaZkt0KLXsqw3M9b+cUi+jOGVJfrV2aTNz8w+aZx3ApCwAd79bqDQiVvCkxVetQdpGUv36JocdDv6yyS9X80zuHV0xR/UfMfcl3BQC1RYdeUwY2P8tdYTZhcL1ZgKBlLIGyQNXUh36RIc3yK9C+4Z2yoST5QmN4fhxIoLWpQY1a3JSYci+cs7Q6lyRc9gDbVOWfArE9/+zKTWx9mHA87MsUIyrTcw8FD4J5DI2QXLJSb4gJmKFVgMHDzhWxo0UmMGcit9836X3BpO1FAPew==","69168b21477cff9ada6cb980","691bd4c689e40f7e97a34089","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:53:29
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd4c689e40f7e97a34089","html-keyboard-response",19,1640208,"0.0-307.0","SderUN3yU73FjQQZw+EaKa8psf2cYHMiQhaRzVrf6c0BJ934FRSgbPG6fDSl4xy1Kj3kaZkt0KLXsqw3M9b+cUi+jOGVJfrV2aTNz8w+aZx3ApCwAd79bqDQiVvCkxVetQdpGUv36JocdDv6yyS9X80zuHV0xR/UfMfcl3BQC1RYdeUwY2P8tdYTZhcL1ZgKBlLIGyQNXUh36RIc3yK9C+4Z2yoST5QmN4fhxIoLWpQY1a3JSYci+cs7Q6lyRc9gDbVOWfArE9/+zKTWx9mHA87MsUIyrTcw8FD4J5DI2QXLJSb4gJmKFVgMHDzhWxo0UmMGcit9836X3BpO1FAPew==","69168b21477cff9ada6cb980","691bd4c689e40f7e97a34089","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",NA,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:53:29
"103166.99999999977","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd4c689e40f7e97a34089","survey-html-form",20,1743379,"0.0-308.0","SderUN3yU73FjQQZw+EaKa8psf2cYHMiQhaRzVrf6c0BJ934FRSgbPG6fDSl4xy1Kj3kaZkt0KLXsqw3M9b+cUi+jOGVJfrV2aTNz8w+aZx3ApCwAd79bqDQiVvCkxVetQdpGUv36JocdDv6yyS9X80zuHV0xR/UfMfcl3BQC1RYdeUwY2P8tdYTZhcL1ZgKBlLIGyQNXUh36RIc3yK9C+4Z2yoST5QmN4fhxIoLWpQY1a3JSYci+cs7Q6lyRc9gDbVOWfArE9/+zKTWx9mHA87MsUIyrTcw8FD4J5DI2QXLJSb4gJmKFVgMHDzhWxo0UmMGcit9836X3BpO1FAPew==","69168b21477cff9ada6cb980","691bd4c689e40f7e97a34089","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""5"",""box2"":""5""}","",NA,1,"round1_outcome",1,1,1,5,5,NA,NA,0,0,10,5,5,NA,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:53:29
